epoch,step,loss,focal,margin,rdrop_kl,supcon,lr,samples_seen,elapsed_s
1,77,7.21093,6.85073,8.0,0.00059,-0.0,2.15e-06,616,5262.0
1,78,2.74693,2.58366,3.14062,0.0001,0.0,2.17e-06,624,5326.3
1,79,0.43185,0.25815,0.82812,3e-05,0.0,2.2e-06,632,5387.7
1,80,0.63727,0.42487,1.13281,0.0001,0.0,2.23e-06,640,5449.4
1,81,1.73077,1.58924,2.14062,9e-05,0.0,2.26e-06,648,5681.0
1,82,3.63101,3.30711,4.4375,6e-05,0.0,2.29e-06,656,5744.7
1,83,3.97351,3.59637,4.8125,0.00026,0.0,2.31e-06,664,5819.0
1,84,4.55795,4.1718,5.4375,2e-05,0.0,2.34e-06,672,5884.9
1,85,4.63437,4.28038,5.4375,4e-05,0.0,2.37e-06,680,5961.6
1,86,3.00842,2.82068,3.4375,0.00011,0.0,2.4e-06,688,6047.9
1,87,2.40682,2.24654,2.84375,0.00034,0.0,2.42e-06,696,6121.0
1,88,0.29491,0.15245,0.61719,0.00015,0.00027,2.45e-06,704,6196.5
1,89,0.6795,0.48767,1.125,9e-05,0.0,2.48e-06,712,6279.9
1,90,2.65405,2.44014,3.28125,0.00091,0.0,2.51e-06,720,6358.0
1,91,2.02492,1.65308,2.8125,0.00012,-0.0,2.54e-06,728,6424.2
1,92,6.24344,5.90749,7.1875,3e-05,0.0,2.56e-06,736,6500.0
1,93,0.00314,0.00458,0.0,9e-05,-0.0,2.59e-06,744,6567.3
1,94,2.93475,2.77908,3.32812,5e-05,0.0,2.62e-06,752,6638.1
1,95,4.33131,3.93857,5.21875,0.00011,0.0,2.65e-06,760,6716.3
1,96,0.70557,0.40843,1.34375,0.00043,0.0,2.68e-06,768,6789.4
1,97,3.17738,2.86891,4.0,0.0002,0.0,2.7e-06,776,6857.9
1,98,4.86004,4.53222,5.625,0.00023,0.0,2.73e-06,784,6933.3
1,99,3.27509,2.92128,4.0625,0.00034,0.0,2.76e-06,792,7023.3
